,ID,Title,Year,Star1,Star2,Star3,Star4,Star5
0,0111161,The Shawshank Redemption,1994,Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown
1,0068646,The Godfather,1972,Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall
2,0071562,The Godfather: Part II,1974,Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale
3,0468569,The Dark Knight,2008,Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal
4,0050083,12 Angry Men,1957,Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman
5,0108052,Schindler's List,1993,Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall
6,0167260,The Lord of the Rings: The Return of the King,2003,Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach
7,0110912,Pulp Fiction,1994,Tim Roth,Amanda Plummer,Laura Lovelace,John Travolta,Samuel L. Jackson
8,0060196,"The Good, the Bad and the Ugly",1966,Eli Wallach,Clint Eastwood,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli
9,0137523,Fight Club,1999,Edward Norton,Brad Pitt,Meat Loaf,Zach Grenier,Richmond Arquette
10,0120737,The Lord of the Rings: The Fellowship of the Ring,2001,Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean
11,0109830,Forrest Gump,1994,Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum
12,1375666,Inception,2010,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe
13,0080684,Star Wars: Episode V - The Empire Strikes Back,1980,Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels
14,0167261,The Lord of the Rings: The Two Towers,2002,Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett
15,0133093,The Matrix,1999,Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster
16,0073486,One Flew Over the Cuckoo's Nest,1975,Jack Nicholson,Louise Fletcher,Will Sampson,Michael Berryman,Alonzo Brown
17,0099685,Goodfellas,1990,Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino
18,0047478,Seven Samurai,1954,Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara
