Tim Robbins,Morgan Freeman,Bob Gunton,William Sadler,Clancy Brown
Marlon Brando,Al Pacino,James Caan,Richard S. Castellano,Robert Duvall
Al Pacino,Robert Duvall,Diane Keaton,Robert De Niro,John Cazale
Christian Bale,Heath Ledger,Aaron Eckhart,Michael Caine,Maggie Gyllenhaal
Martin Balsam,John Fiedler,Lee J. Cobb,E.G. Marshall,Jack Klugman
Liam Neeson,Ben Kingsley,Ralph Fiennes,Caroline Goodall,Jonathan Sagall
Noel Appleby,Ali Astin,Sean Astin,David Aston,John Bach
Tim Roth,Amanda Plummer,Laura Lovelace,John Travolta,Samuel L. Jackson
Eli Wallach,Clint Eastwood,Lee Van Cleef,Aldo Giuffrè,Luigi Pistilli
Edward Norton,Brad Pitt,Meat Loaf,Zach Grenier,Richmond Arquette
Alan Howard,Noel Appleby,Sean Astin,Sala Baker,Sean Bean
Tom Hanks,Rebecca Williams,Sally Field,Michael Conner Humphreys,Harold G. Herthum
Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,Tom Hardy,Ken Watanabe
Mark Hamill,Harrison Ford,Carrie Fisher,Billy Dee Williams,Anthony Daniels
Bruce Allpress,Sean Astin,John Bach,Sala Baker,Cate Blanchett
Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,Hugo Weaving,Gloria Foster
Jack Nicholson,Louise Fletcher,Will Sampson,Michael Berryman,Alonzo Brown
Robert De Niro,Ray Liotta,Joe Pesci,Lorraine Bracco,Paul Sorvino
Toshirô Mifune,Takashi Shimura,Keiko Tsushima,Yukiko Shimazaki,Kamatari Fujiwara
Morgan Freeman,Andrew Kevin Walker,Daniel Zacapa,Brad Pitt,Gwyneth Paltrow
Alexandre Rodrigues,Leandro Firmino,Phellipe Haagensen,Douglas Silva,Jonathan Haagensen
Roberto Benigni,Nicoletta Braschi,Giorgio Cantarini,Giustino Durano,Sergio Bini Bustric
Jodie Foster,Lawrence A. Bonney,Kasi Lemmons,Lawrence T. Wrentz,Scott Glenn
Mark Hamill,Harrison Ford,Carrie Fisher,Peter Cushing,Alec Guinness
James Stewart,Donna Reed,Lionel Barrymore,Thomas Mitchell,Henry Travers
Tom Hanks,Tom Sizemore,Edward Burns,Barry Pepper,Adam Goldberg
Rumi Hiiragi,Miyu Irino,Mari Natsuki,Takashi Naitô,Yasuko Sawaguchi
Tom Hanks,David Morse,Bonnie Hunt,Michael Clarke Duncan,James Cromwell
Jean Reno,Gary Oldman,Natalie Portman,Danny Aiello,Peter Appel
Tatsuya Nakadai,Akira Ishihama,Shima Iwashita,Tetsurô Tanba,Masao Mishima
Ellen Burstyn,Matthew McConaughey,Mackenzie Foy,John Lithgow,Timothée Chalamet
Stephen Baldwin,Gabriel Byrne,Benicio Del Toro,Kevin Pollak,Kevin Spacey
Rowan Atkinson,Matthew Broderick,Niketa Calame-Harris,Jim Cummings,Whoopi Goldberg
Edward Norton,Edward Furlong,Beverly D'Angelo,Jennifer Lien,Ethan Suplee
Michael J. Fox,Christopher Lloyd,Lea Thompson,Crispin Glover,Thomas F. Wilson
Adrien Brody,Emilia Fox,Michal Zebrowski,Ed Stoppard,Maureen Lipman
Charles Chaplin,Paulette Goddard,Henry Bergman,Tiny Sandford,Chester Conklin
Arnold Schwarzenegger,Linda Hamilton,Edward Furlong,Robert Patrick,Earl Boen
François Cluzet,Omar Sy,Anne Le Ny,Audrey Fleurot,Joséphine de Meaux
Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam
Russell Crowe,Joaquin Phoenix,Connie Nielsen,Oliver Reed,Richard Harris
Virginia Cherrill,Florence Lee,Harry Myers,Al Ernest Garcia,Hank Mann
Leonardo DiCaprio,Matt Damon,Jack Nicholson,Mark Wahlberg,Martin Sheen
Miles Teller,J.K. Simmons,Paul Reiser,Melissa Benoist,Austin Stowell
Robert Downey Jr.,Chris Evans,Mark Ruffalo,Chris Hemsworth,Scarlett Johansson
Claudia Cardinale,Henry Fonda,Jason Robards,Charles Bronson,Gabriele Ferzetti
Hugh Jackman,Christian Bale,Michael Caine,Piper Perabo,Rebecca Hall
Humphrey Bogart,Ingrid Bergman,Paul Henreid,Claude Rains,Conrad Veidt
