,0
0,0111161
1,0068646
2,0071562
3,0468569
4,0050083
5,0108052
6,0167260
7,0110912
8,0060196
9,0137523
10,0120737
11,0109830
12,1375666
13,0080684
14,0167261
15,0133093
16,0073486
17,0099685
18,0047478
19,0114369
20,0317248
21,0118799
22,0102926
23,0076759
24,0038650
25,0120815
26,0245429
27,0120689
28,0110413
29,0056058
30,0816692
31,0114814
32,0110357
33,0120586
34,0088763
35,0027977
36,0253474
37,0103064
38,1675434
39,0054215
40,0172495
41,0021749
42,0407887
43,2582802
44,4154796
45,0064116
46,0482571
47,0034583
48,0095327
49,0047396
50,0095765
51,0082971
52,0078748
53,0209144
54,0078788
55,0032553
56,0405094
57,4154756
58,1853728
59,4633694
60,0050825
61,0081505
62,0910970
63,0043014
64,0057012
65,0119698
66,0364569
67,0051201
68,1345836
69,0087843
70,0090605
71,0169547
72,2380307
73,5311514
74,0112573
75,0082096
76,6751668
77,1187043
78,0986264
79,0086190
80,0114709
81,0105236
82,0086879
83,5074352
84,0022100
85,0119217
86,0180093
87,0361748
88,0052357
89,0062622
90,0338013
91,0033467
92,0093058
93,2106476
94,0053125
95,0066921
96,0208092
97,0211915
98,0012349
99,0040522
100,0086250
101,0056172
102,0045152
103,0435761
104,0075314
105,0070735
106,0017136
107,0059578
108,0036775
109,1832382
110,0044741
111,0056592
112,0097576
113,0053604
114,3417422
115,1049413
116,0119488
117,0071853
118,8267604
119,1255953
120,0113277
121,0042876
122,0055630
123,0372784
124,0095016
125,0105695
126,6966692
127,0363163
128,0118849
129,0053291
130,0347149
131,0057115
132,0096283
133,0089881
134,0042192
135,0268978
136,0457430
137,0112641
138,0091251
139,1305806
140,0120735
141,0081398
142,0476735
143,0040897
144,0993846
145,0055031
146,5027774
147,0071315
148,0015864
149,2096673
150,0046912
151,0434409
152,0469494
153,0050976
154,1291584
155,3170832
156,0117951
157,0477348
158,8108198
159,0080678
160,0167404
161,1130884
162,0084787
163,0050212
164,0031381
165,0116231
166,0041959
167,0047296
168,0083658
169,0050986
170,0107290
171,0266543
172,1205489
173,0116282
174,0266697
175,0077416
176,0046438
177,0118715
178,0079944
179,0120382
180,3011894
181,0978762
182,2119532
183,2267998
184,0107207
185,0015324
186,0017925
187,0892769
188,0031679
189,0040725
190,2278388
191,0353969
192,0060827
193,0112471
194,0264464
195,0758758
196,0061512
197,0046268
198,2024544
199,0074958
200,1392214
201,0079470
202,0405508
203,0092005
204,0019254
205,1392190
206,0060107
207,0091763
208,1979320
209,0405159
210,1028532
211,3315342
212,0052618
213,0072684
214,0395169
215,0245712
216,0087544
217,1895587
218,1201607
219,0053198
220,0097165
221,0032976
222,0075148
223,1954470
224,0198781
225,0025316
226,0169102
227,0113247
228,4016934
229,0374887
230,0093779
231,0056732
232,2338151
233,0367110
234,0064115
235,1454029
236,1979376
237,0381681
238,4430212
239,0094625
240,0088247
241,0087884
242,0118694
243,2015381
244,0338564
245,0058946
246,0103639
247,1280558
248,0120731
249,2758880
