,0
0,The Shawshank Redemption
1,The Godfather
2,The Godfather: Part II
3,The Dark Knight
4,12 Angry Men
5,Schindler's List
6,The Lord of the Rings: The Return of the King
7,Pulp Fiction
8,"The Good, the Bad and the Ugly"
9,Fight Club
10,The Lord of the Rings: The Fellowship of the Ring
11,Forrest Gump
12,Inception
13,Star Wars: Episode V - The Empire Strikes Back
14,The Lord of the Rings: The Two Towers
15,The Matrix
16,One Flew Over the Cuckoo's Nest
17,Goodfellas
18,Seven Samurai
19,Se7en
20,City of God
21,Life Is Beautiful
22,The Silence of the Lambs
23,Star Wars: Episode IV - A New Hope
24,It's a Wonderful Life
25,Saving Private Ryan
26,Spirited Away
27,The Green Mile
28,Léon: The Professional
29,Harakiri
30,Interstellar
31,The Usual Suspects
32,The Lion King
33,American History X
34,Back to the Future
35,Modern Times
36,The Pianist
37,Terminator 2: Judgment Day
38,The Intouchables
39,Psycho
40,Gladiator
41,City Lights
42,The Departed
43,Whiplash
44,Avengers: Endgame
45,Once Upon a Time in the West
46,The Prestige
47,Casablanca
48,Grave of the Fireflies
49,Rear Window
50,Cinema Paradiso
51,Raiders of the Lost Ark
52,Alien
53,Memento
54,Apocalypse Now
55,The Great Dictator
56,The Lives of Others
57,Avengers: Infinity War
58,Django Unchained
59,Spider-Man: Into the Spider-Verse
60,Paths of Glory
61,The Shining
62,WALL·E
63,Sunset Blvd.
64,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb
65,Princess Mononoke
66,Oldboy
67,Witness for the Prosecution
68,The Dark Knight Rises
69,Once Upon a Time in America
70,Aliens
71,American Beauty
72,Coco
73,Your Name.
74,Braveheart
75,Das Boot
76,Parasite
77,3 Idiots
78,Like Stars on Earth
79,Star Wars: Episode VI - Return of the Jedi
80,Toy Story
81,Reservoir Dogs
82,Amadeus
83,Dangal
84,M
85,Good Will Hunting
86,Requiem for a Dream
87,Inglourious Basterds
88,Vertigo
89,2001: A Space Odyssey
90,Eternal Sunshine of the Spotless Mind
91,Citizen Kane
92,Full Metal Jacket
93,The Hunt
94,North by Northwest
95,A Clockwork Orange
96,Snatch
97,Amélie
98,The Kid
99,Bicycle Thieves
100,Scarface
101,Lawrence of Arabia
102,Singin' in the Rain
103,Toy Story 3
104,Taxi Driver
105,The Sting
106,Metropolis
107,For a Few Dollars More
108,Double Indemnity
109,A Separation
110,Ikiru
111,To Kill a Mockingbird
112,Indiana Jones and the Last Crusade
113,The Apartment
114,Drishyam
115,Up
116,L.A. Confidential
117,Monty Python and the Holy Grail
118,Capernaum
119,Incendies
120,Heat
121,Rashomon
122,Yojimbo
123,Batman Begins
124,Die Hard
125,Unforgiven
126,Green Book
127,Downfall
128,Children of Heaven
129,Some Like It Hot
130,Howl's Moving Castle
131,The Great Escape
132,My Neighbor Totoro
133,Ran
134,All About Eve
135,A Beautiful Mind
136,Pan's Labyrinth
137,Casino
138,Come and See
139,The Secret in Their Eyes
140,"Lock, Stock and Two Smoking Barrels"
141,Raging Bull
142,My Father and My Son
143,The Treasure of the Sierra Madre
144,The Wolf of Wall Street
145,Judgment at Nuremberg
146,"Three Billboards Outside Ebbing, Missouri"
147,Chinatown
148,The Gold Rush
149,Inside Out
150,Dial M for Murder
151,V for Vendetta
152,There Will Be Blood
153,The Seventh Seal
154,Warrior
155,Room
156,Trainspotting
157,No Country for Old Men
158,Andhadhun
159,The Elephant Man
160,The Sixth Sense
161,Shutter Island
162,The Thing
163,The Bridge on the River Kwai
164,Gone with the Wind
165,The Bandit
166,The Third Man
167,On the Waterfront
168,Blade Runner
169,Wild Strawberries
170,Jurassic Park
171,Finding Nemo
172,Gran Torino
173,Fargo
174,Kill Bill: Vol. 1
175,The Deer Hunter
176,Tokyo Story
177,The Big Lebowski
178,Stalker
179,The Truman Show
180,Wild Tales
181,Mary and Max
182,Hacksaw Ridge
183,Gone Girl
184,In the Name of the Father
185,Sherlock Jr.
186,The General
187,How to Train Your Dragon
188,Mr. Smith Goes to Washington
189,The Red Shoes
190,The Grand Budapest Hotel
191,Memories of Murder
192,Persona
193,Before Sunrise
194,Catch Me If You Can
195,Into the Wild
196,Cool Hand Luke
197,The Wages of Fear
198,12 Years a Slave
199,Network
200,Prisoners
201,Monty Python's Life of Brian
202,Rang De Basanti
203,Stand by Me
204,The Passion of Joan of Arc
205,Mad Max: Fury Road
206,Andrei Rublev
207,Platoon
208,Rush
209,Million Dollar Baby
210,Hachi: A Dog's Tale
211,Logan
212,Ben-Hur
213,Barry Lyndon
214,Hotel Rwanda
215,Amores Perros
216,Nausicaä of the Valley of the Wind
217,Spotlight
218,Harry Potter and the Deathly Hallows: Part 2
219,The 400 Blows
220,Dead Poets Society
221,Rebecca
222,Rocky
223,Gangs of Wasseypur
224,"Monsters, Inc."
225,It Happened One Night
226,Lagaan: Once Upon a Time in India
227,La Haine
228,The Handmaiden
229,Munna Bhai M.B.B.S.
230,The Princess Bride
231,The Exterminating Angel
232,PK
233,Swades
234,Butch Cassidy and the Sundance Kid
235,The Help
236,Toy Story 4
237,Before Sunset
238,Drishyam
239,Akira
240,The Terminator
241,"Paris, Texas"
242,In the Mood for Love
243,Guardians of the Galaxy
244,Infernal Affairs
245,The Battle of Algiers
246,Aladdin
247,A Wednesday
248,The Legend of 1900
249,Winter Sleep
